Cue,Answer,Shuffle,Stimuli Notes
Who was Thorndike and what did he do with puzzle boxes?,"Thorndike placed hungry cats inside a puzzle box. Eventually, the cats figured out how to get out of the puzzle box, and that particular behavior was reinforced. Cats got faster and faster (i.e., reduced their latency) at escaping from the puzzle box.",ON,bl
What is the law of effect?,Any behavior that is followed by a satisfactory outcome will be strengthened,ON,bl
What is the difference between positive and negative reinforcement?,"Positive reinforcement involves adding something pleasant; negative reinforcement involves removing something unpleasant; Importantly, BOTH forms of reinforcement strengthen behavior",ON,bl
Davis and Smith (1976) conducted a study regarding morphine in rats. What did they find?,"They found that rats will continue to press a lever to sound a buzzer (secondary reinforcer), even though the buzzer was not directly paired with a morphine reward. This highlights the power of secondary reinforcers.",ON,bl
Hammond (1980) manipulated contingency using an ABAB-reversal design. What was the main result?,"During periods of moderate contingency, rats rapidly pressed the lever; during periods of zero contingency (i.e., meaning a food reward was being delivered 50% of the time regardless of behavior), the rate of lever pressing was dramatically reduced",ON,bl
"Doughty et al., (2012) manipulated the size of the reinforcer following a lever press. What did they find?","Behavior was strengthened more following a larger reinforcer (i.e., 6 pellets of food) versus a smaller reinforcer (i.e., 1 pellet of food).",ON,bl
Miller and Dicara (1967) investigated rats and biofeedback. What did they find?,These researchers found that rats who had been given curare and could not physically move could still increase or decrease their heart rates by 20% if such a behavior was reinforced via electrical brain stimulation,ON,bl
Hollerman and Schultz (1998) investigated dopamine and reward predictability. What did they find?,"The main result was that neurons coded the reward schedule, and unpredictable rewards resulted in the biggest dopamine spikes",ON,bl
What is Response-Deprivation Theory?,"When our access to a particular behavior or resource falls below our baseline level, we will engage in behaviors to try to return to our baseline levels; An example would be if Joey usually watches 3 hours of TV per night, but can only watch 1 hour of TV today, he is more likely to finish his other tasks more efficiently to free up more time to watch TV",ON,bl
"What is the Sidman Avoidance Procedure (Sidman, 1953)?","Rat receives shocks at regular intervals, but can press a lever to delay the shock for 15 seconds. Once they learn this, there is rapid and constant lever pressing.",ON,bl
What was Anger's criticism of Sidman's Avoidance Procedure?,"Anger claimed that there is a valid CS in the Sidman Avoidance Procedure - time. Given that shock always followed a 15 second period, Anger reasoned that the rats may be using time as a CS to press the lever",ON,bl
