Cue,Answer,Shuffle,Stimuli Notes
productivity,the fact that words and rules for their combination allow for an infinite array of new messages to be formed,ON,bl
arbitrariness,the lack of an inherent relationship between the symbols of language and what they represent,ON,bl
animals and language use,"animals can learn to communicate and even learn vocabulary words and how to sign certain words; however, whether or not they can learn language and use it the way humans can is a matter of debate",ON,bl
phonology,the aspect of language that deals with the analysis of basic speech sounds,ON,bl
morphology,the aspect of language that deals with manipulating and changing phonemes to produce different words and word forms,ON,bl
two systems view of language,"states that we learn the rules for regular verbs, and memorize the exceptions for non-regular verbs",ON,bl
universal grammar,Chomsky’s view of language as a uniquely human ability to understand and produce an infinite number of sentences based on an implicit understanding of surface structure and deep structure,ON,bl
cohort model,"a model of spoken word recognition proposing that words are recognized by activating the entire set of possible words based on the word’s initial sound, with a subsequent narrowing of the candidate set as more of the word is perceived",ON,bl
common stores approach,claims that bilinguals share one mental lexical entry for both languages,ON,bl
separate stores approach,claims that bilinguals have separate lexical entries for each language,ON,bl
word skipping,"we do not read every single word during reading and skip words depending upon their length, age of acquisition, and other factors",ON,bl
fixations,"brief pauses in eye movements, during which the eye takes in information",ON,bl
saccades,"the discrete movements that our eyes make from one point to another when we’re reading, taking in a visual scene, or searching for an object",ON,bl
dyslexia,"severe reading difficulties, often difficulties in word recognition",ON,bl
phonics approach,approach to teaching reading that emphasizes the mapping of sounds to letters,ON,bl
whole-word approach,approach to teaching reading that emphasizes the role of story content and context (and de-emphasizes the role of phonics) in helping young readers read,ON,bl
parsing,the identification of the component elements of a sentence and their grammatical relation to one another,ON,bl
garden-path approach,"theory of sentence processing, which assumes that readers follow a simple, word-by-word path through the sentence, testing one syntactic structure until it’s proven wrong",ON,bl
levels of discourse representation,"surface code (the precise wording of a passage of discourse), text base (the major facts and themes of the discourse), and situation model (refers to the “world” created by a piece of discourse—a combination of the places, settings, people, and events in the discourse and the background knowledge possessed by the reader)",ON,bl
global structure,the general knowledge that we bring to bear on what we’re reading,ON,bl
local structure,explicit and/or implicit connections between individual sentences,ON,bl
schema,"a cluster of knowledge about some object or event; the general knowledge we possess about some person, place, or event",ON,bl
reasoning,the evaluation of a conclusion based solely on given information,ON,bl
judgment,the application of reasoning processes about given information and the use of this information to arrive at a conclusion,ON,bl
decision making,"a process that involves evaluating given information, making a judgment, and, based on these, making a choice among several possible alternatives",ON,bl
normative approach,"an approach to reasoning, judgment, and decision making that describes how we ought to think in a given situation",ON,bl
descriptive approach,"a process that involves evaluating given information, making a judgment, and, based on these, making a choice among several possible alternatives",ON,bl
dual process view,"characterizes reasoning as the product of two different processes: fast, automatic, unconscious processing (System 1) and slow, deliberative conscious processing (System 2)",ON,bl
heuristic system,"part of the dual process view; system of thinking that operates relatively quickly, effortlessly, and automatically",ON,bl
analytical system,"part of the dual process view; system of thinking that operates relatively slowly, analytically, and consciously.",ON,bl
valid forms of an argument,modus ponens and modus tollens,ON,bl
modus ponens,"If X is true, then Y is true. X is true. Therefore, Y is true.",ON,bl
modus tollens,"If X is true, then Y is true. X is false. Therefore, Y is false.",ON,bl
biconditional assumption,If X then Y is not the same as if Y then X!,ON,bl
deductive reasoning,determining if a specific conclusion is valid based on general premises,ON,bl
inductive reasoning,reasoning in which we move from specific pieces of data or information toward a general conclusion,ON,bl
availability heuristic,"basing of our estimates of likelihood, or probability, on the ease with which we can think of examples",ON,bl
dread risk,our tendency to avoid situations in which many people may be killed at the same time while simultaneously being relatively impervious to risky situations in which deaths are more spread out,ON,bl
law of effect,"Thorndike’s principle of associative learning that if a response leads to a satisfying outcome, the connection between the response and the situation in which it took place will be strengthened; if a response leads to a non-satisfying outcome, that connection will be weakened",ON,bl
means-end analysis,"breaking a problem into smaller subgoals, where accomplishing each subgoal moves the solver closer to the solution",ON,bl
insight,the sudden and successful restructuring of problem elements to reach a solution,ON,bl
functional fixedness,"people’s tendency to view objects in a narrow, fixed sense—that is, in terms of the typical uses of the object",ON,bl
analogical transfer,using a previous problem to help you solve a new problem,ON,bl
Warren (1970),"discovered the phonemic restoration effect, which is the tendency for our perceptual system to “fill in” missing speech sounds",ON,bl
Van Orden (1987),"found evidence for the indirect-access view, which is the view that word recognition goes through the phonological representation of the word prior to the word’s identification",ON,bl
"Rayner, White, Johnson, and Liversedge (2006)",investigated how transposing letters influences reading times; found that transposing the beginning letters is the most costly to reading times,ON,bl
"Perea, Acha, & Carreiras (2009)",investigated how abbreviated messages influence reading times; found that abbreviated messages hurt reading time,ON,bl
Pickering and Traxler (1998),found that semantics must influence our syntactic processing,ON,bl
"Ditman, Brunye, Mahoney, and Taylor (2009)","found that the ""you"" pronoun leads to typically faster response times and better sensitivity scores",ON,bl
Kintsch (1974),"found that explicit statements can be verified more quickly than implied statements, but this advantage disappears after a delay",ON,bl
Kornell and Bjork (2008),had students study paintings in either a massed or spaced fashion; found that spacing paintings lead to much better learning of the painters' styles,,
"Hastie, Schkade, and Payne (1999)",participants were placed in a foresight condition (made a railway accident seem likely) or in a hindsight condition (same conditions as foresight condition but also told that the accident had already happened) and had to give liability ratings regarding whether the accident was foreseeable; major results were that liability ratings were highest in the hindsight condition,,
"Just, Carpenter, and Masson (1982)","found that comprehension was worst for speed readers, highlighting a speed-accuracy tradeoff",,
Gick and Holyoak (1983),"had participants read a passage involving the solution of ""convergence"", then had participants solve a novel problem that also required a similar solution; most participants failed to connect the new problem with the previous one",,
Metcalfe and Wiebe (1987),presented participants with insight versus non-insight problems; people have no idea how close they are to solving an insight problem until they get the answer unexpectedly,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
